Mã hàng	ĐVT	Tên hàng
440034	Gói	Drive Belt 9050 Dây Curoa
440038	Gói	Membrane Switch Bactec 9050 Bàn phím điều khiển kèm cáp kết nối
440047	Cái	Mô tơ bước cho máy MGIT 960
440050	Cái	DUAL CHAIN MGIT SPARE
440053	Cái	Bo điều khiển bộ ra nhiệt Mgit 960
440054	Cái	SET OF SLIDES DRAWER MGIT 960 SPARE
440330	Thùng	Pipette Tips (CO-RE II) 1000 uL Conductive Filtered
4405896	Bộ	DRAWER SENSOR BOARD
4405902	Cái	Nguồn 5v/15v
4406	Cái	SURGICAL CLIPPER BLADE-GENERAL USE
440774	Cái	Bo cảm biến máy Mgit 960
440776	Cái	Bảng cảm biến nhiệt độ Mgit 960
440777	Cái	Bo nguồn máy Mgit 960
440825	Gói	QUICK REFERENCE GUIDE BACTEC FX REVISION 07
440910	Cái	PhoenixSpec™ Nephelometer Máy đo độ đục BD PhoenixSpec™
440911	Hộp	PhoenixSpec Calibrator Kit Bộ chuẩn máy đo độ đục BD PhoenixSpec™
441183	Cái	BD Viper Thermal Verification Tool
441306	Bộ	Bộ mô tơ rung máy FX
441320	Cái	COUPLING SLEEVE FLEX BFX SPARE
441341	Cái	HANDLE DRAWER A/D BFX SPARE
441342	Cái	HANDLE DRAWER B/C BFX SPARE
441354	Hộp	Viper System Neutralization Pouch
441364	Cái	Đầu đọc mã vạch máy Mgit 960
441370	Hộp	BACTEC Digital Thermometer
441385	Cái	BD BACTEC FX-Top
441387	Hộp	KIT COUNTERWEIGHT BFX
441427	Gói	MANUAL BACTEC FX PACKAGED REVISION# 10
441442	Cái	SET KEY SERVICE SWITCH PACKAGED
441458	Cái	Bo điều khiển mo tơ blower máy FX
441459	Cái	Màn hình LCD máy FX
441460	Cái	Bo điều khiển Drawer máy FX
441468	Bộ	Bộ khóa cài máy FX
441476	Bộ	Calibration Verification Kit BFX SPARE
441479	Bộ	BYPASS TOOL DRAWER PASSIVE LOCK BFX
441735	Cái	Module điều khiển hệ thống BFX
441772	Hộp	BD MAX GBS
441842	Cái	KIT DISPLAY AND ELECTRONICS MOD MGIT 960
441912	Cái	LLS STRIPPER ASSY Z GANTRY MAX6 SPARE
441954	Cái	CONTROL ELECTRONICS MODULE MGIT960 SPARE
441959	Cái	TEST TOOL GAUS METER EXT VPRLT SPARE
441980	Gói	USERS MANUAL FX40 PACKAGED
441992	Hộp	Tube Fox Extraction PCR
441993	Hộp	Control Set for the BD Onclarity HPV Assy
442017	Chai	BACTEC Mycosis IC/F Culture Vials (Plastic)
442020	Chai	BACTEC Peds Plus/F Culture Vials
442021	Chai	BACTEC Lytic/10 Anaerobic/F Culture Vials
442023	Chai	BACTEC Plus Aerobic/F Culture Vials (Chai cấy máu hiếu khí người lớn)
442288	Chai	BACTEC Myco/F Lytic Culture Vials (40 mL)
442296	Cái	BACTEC FX40 INSTRUMENT
442299	Hộp	Install Kit Bactec FX 40 Instrument
442555	Hộp	Kit BD Max Cdiff EU
442794	Chai	Bactec Plastic Myco/F Lytic Medium
442818	Hộp	Kit BD Max ExK DNA-1 EU LUO
442819	Hộp	Kit BD Max ExK DNA-2 USA
442821	Hộp	Kit BD Max ExK DNA-3 USA
442827	Hộp	Kit BD Max ExK TNA-3
442840	Hộp	Onclarity HPV Liquid Based Cytology Specimen (LBC) Diluent Tubes
442841	Máng	Viper PCR Extraction Reagent Trough with Piercing Tool
442946	Hộp	Onclarity HPV Assay Reagent Pack
442960	Hộp	Kit BD Max Enteric Parasite Panel
442963	Hộp	Kit BD Max Enteric Bacterial Panel
442967	Bộ	Kit Accessory PCR Viper LT
442968	Hộp	Waste Bag
443032	Hộp	FLOWMETER 40 TO 600 CCM FEA SPARE
443047	Hộp	DENSITY REAGENT PUMP FEA SPARE
443051	Hộp	ELEVATOR INTERCONNECT BOARD FEA SPARE
443066	Cái	PBA CPU AVALUE BCM QM57 FEA SPARE
443067	Cái	PINCH VALVE DR LOOP HARNESS FEA SPARE
443083	Cái	USB HUB CIRCUIT BOARD FEA SPARE
443113	Cái	CABLE ULTRASONIC SENSOR FEA SPARE
443138	Hộp	CENTRIFUGE CENTER TEACH TOOL FEA SPARE
443139	Hộp	PROCESS DECK TEACH TOOL FEA SPARE
443161	Cái	PCA USB AND COM HUB VPRLT SPARE
443189	Cái	Bộ nguồn 300W
443190	Cái	Bộ nguồn đầu cuối 48VDC
443191	Hộp	MOTOR X-AXIS AND Z-AXIS FEA SPARE
443196	Cái	Pipette Head 1ml HAM VPRLT Spare
443197	Cái	PIPETTE CHANNEL A ASSY HAM VPRLT SPARE
443208	Cái	Cảm biến vị trí
443217	Cái	Board giao diện
443219	Cái	Bộ nguồn 42v 600W
443224	Cái	PROG PCB ASSY DOOR LOCK HAM VPRLT SPARE
443253	Cái	Đai truyền chuyển động trục Z
443255	Gói	SET OF 8 1ML O RING HAM VPRLT SPARE
443257	Cái	Motor/ Động cơ ép
443262	Cái	GREASE AND OIL KIT HAMILTON VPRLT SPARE
443263	Cái	GRIPPER FEA SPARE
443375	Cái	PROBE ALIGNMENT TOOL FEA SPARE
443384	Bộ	Cảm biến chốt cửa máy FX40
443386	Hộp	BLOWER CROSSFLOW ASSY FX40 SPARE
443503	Cái	Bộ nguồn
443569	Cái	FILTER PANEL GEN 4 PHX50 SPARE
443624	Cái	BD Phoenix M50
443625	Bộ	Phoenix M50 Starer Kit
443682	Cái	XY CONTROLLER ASSY WIN MAX6 SPARE
443684	Cái	Bo mạch điều khiển bộ phận chiết tách mẫu PCB 2X MTR CNTRL MAG DRV WIN MAX6 SPARE
443687	Cái	BENDER BOARD WIN MAX6 SPARE
443688	Cái	HEATER MUX ASSY WIN MAX6 SPARE
443691	Cái	Bo mạch điều khiển đầu đọc B - PCB 2X MTR CNTRL RDR RT WIN MAX6 SPARE
443693	Cái	PCB ASSEMBLY MUX WIN VER MAX6 SPARE
443694	Cái	LIFTING HANDLES SET OF 4 SPARE
443704	Hộp	ENCODER CENTRIFUGE HETTICH SPARE
443709	Cái	KIT PMI VIPER LT
443747	Gói	Key Card for the BD Viper LT System
443806	Hộp	BD MAX STR
443812	Hộp	Kit BD Max ETX Enteric Bacterial Panel
443831	Cái	SERVO MOTOR ASSEMBLY PHX50 SPARE
443843	Cái	POWER ENTRY PANEL ASSEMBLY PHX50 SPARE
443845	Cái	Máy đọc mã vạch
443846	Cái	Bộ điều khiển và chia nguồn máy Phoenix M50
443848	Bộ	Light Source Board Kit PHX50 Spare Bộ điều khiển nguồn sáng cho máy Phoenix M50
443850	Bộ	TIER MICRO BOARD KIT PHX500 SPARE Bộ  tier máy Phoenix M50
443853	Bộ	INCUBATION ASSEMBLY PHX50 SPARE
443855	Cái	Dây curoa
443856	Bộ	Bộ mô tơ và dây máy Phoenix M50
443859	Cái	KIT TOOLS FIELD PHX50
443878	Hộp	Kit BD MAX MDR-TB
443910	Bộ	Bộ phụ kiện giá đỡ lắp máy PHX50
444004	Hộp	SPRING TORSION MODIFIED FEA SPARE
444042	Cái	Direct to Slide 1 Slide Holder
444048	Hộp	BD MAX Qualification Kit
444510	Cái	Mạch phân phối công suất
444513	Cái	Motor trục Y
444531	Bộ	Rack máy FX, code cũ: 441170
444568	Bộ	AC MOTOR MODI GEN2 MGIT 960 SPARE
444575	Gói	Windows 10 license Spare
444876	Cái	SHORTING PCB ASSY BFX SPARE (Set of 10)
444894	Cái	TRIPLE SUPPLY MODULE 960 SPARE
445331	Cái	POWER SUPPLY FX40 SPARE
445332	Cái	NYOGEL 760G 30CC SYRINGE BFX SPARE
445333	Cái	DISPENSING TIPS BFX SPARE
445871	Hộp	BACTEC MGIT 960 Calibration Vial
445872	Hộp	Temp Qc Device Mgit Instrument Thiết bị đo chuẩn nhiệt
445999	Hộp	Kit Cablirator Mgit960 51 Pk
447157	Cái	Phoenix Normalizer Panel
448007	Thẻ	Phoenix NID
448008	Thẻ	Phoenix PID
448316	Thẻ	Phoenix YEAST ID
448420	Thẻ	Phoenix PMIC-84 (Thẻ kháng sinh đồ vi khuẩn gram dương)
448614	Thẻ	Phoenix PMIC/ID-95 (Thẻ định danh và kháng sinh đồ gram dương)
448851	Thẻ	Phoenix SMIC/ID-2
448911	Thẻ	Phoenix PMIC/ID-55
448984	Hộp	Panel Phoenix Temperature
449023	Thẻ	Phoenix NMIC/ID-500
449027	Thẻ	Phoenix NMIC/ID-504
449527	Thẻ	Panel Phoenix NMIC 486
4619PG	Cái	Bơm tiêm khí máu động mạch tráng sẵn heparin, Pro-vent Plus, 1CC (25G)
4629PG	Cái	Bơm tiêm khí máu động mạch tráng sẵn heparin, Pro-vent Plus, 1CC (23G)
490518	Bộ	Buffered Tris
490795	Gói	Z-MAX GAUGE
491266	Thùng	SurePath Manual Method Kit
491332	Chai	Density Reagent
491364	Gói	TIP CENTERING TOOL TOTALYS SLIDEPREP
491452	Khay	SurePath Collection Vial Kit 500 (10 mL)
491453	Thùng	Totalys MultiProcessor Consumables Kit
491456	Thùng	Totalys SlidePrep Consumables Kit
491457	Chai	Bottle Alcohol Blend Rinse 1700ml CE M
50-7050	Cái	PleurX Pleural Catheter Mini Kit
50-7280A	Cái	CATHETER ACCESS KIT
50-9050A	Cái	PleurX Peritoneal Catheter Mini Kit
5051	Cái	Bucket (giỏ treo)
5053	Cái	Nắp an toàn sinh học
5327-02	Chai	Xà phòng rửa tay diệt khuẩn Gojo 1200ml tự động
5476-04	Chai	Gel rửa tay diệt khuẩn PURELL TFX 1200ml
550475	Lọ	Annexin V Recom APC 200Tst
550616	Lọ	Ms IgG1Kpa ItCI FITC MOPC-31C 250ug
550617	Lọ	Ms IgG1Kpa ItCl PE MOPC-31C 100ug
550633	Lọ	BD Pharmingen™ PE Mouse Anti-Human CD183
550825	Lọ	PI/RNase Staining Buffer Solution 100mL
550956	Lọ	Hu CD36 APC CB38 (NL07) 100Tst
550989	Lọ	Hu CD44 PE 515 100 Tst
551108	Lọ	Hu CD81 FITC JS-81 100 Tst
5513E	Cái	SURGICAL CLIPPER
5514E	Cái	SURGICAL CLIPPER CHARGER
551775	Lọ	Hu CD66c FITC B6.2/CD66c 100Tst
552843	Bộ	Ms Ig Kpa Comp Bead Set 6mL
553373	Lọ	Ms CD31 PE MEC 13.3 200ug
553943	Lọ	Rat IgM Kpa ItCl PE R4-22 100ug
554656	Chai	Stain Buffer FBS 500mL
554657	Chai	Stain Buffer BSA 500mL
555349	Lọ	Hu CD4 APC RPA-T4 100Tst
555372	Lọ	Hu CD9 PE M-L13 100Tst
555398	Lọ	Hu CD14 PE M5E2 100Tst
555403	Lọ	BD Pharmingen™ Purified NA/LE Mouse Anti-Human CD16
555445	Lọ	Hu CD31 FITC WM59 100Tst
555455	Lọ	Hu CD36 PE CB38 (NL07) 100Tst
555492	Lọ	BD Pharmingen™ FITC Mouse Anti-Human CD45RO
555513	Lọ	BD Pharmingen™ Purified NA/LE Mouse Anti-Human CD56 (NCAM-1)
555595	Lọ	Hu CD90 FITC 5E10 100ug
555688	Lọ	Hu CD99 FITC TU12 100 Test
555749	Lọ	Ms IgG1Kpa ItCI PE MOPC-21 100Tst
555786	Lọ	Hu IgG FITC G18-145 100 Test
555812	Lọ	Hu HLA-DR PE L243 (G46-6) 100 Tst
555899	Chai	Lysing Buffer 10X Concentrate 100mL
555920	Lọ	Hu CD58 FITC 1C3 100Tst
556020	Lọ	Hu CD63 PE H5C6 100 Tst
556291	Lọ	Rainbow beads - Service Tool
556547	Lọ	Annexin V FITC Apop Dtec Kit I 100Tst
556577	Hộp	Hu Perforin FITC Set dG9 100 Test
557454	Lọ	Hu CD13 APC WM15 100 Test
557697	Lọ	Hu CD19 Alexa 488 HIB19 100Tst
557885	Lọ	Phosflow Perm/Wash Buffer I 125mL
558592	Lọ	Hu CD64 PE 10.1 100 Tst
559925	Lọ	BD 7-AAD Staining Solution 2mL
560237	Lọ	SSEA-3 PE MC-631 100Tst
560365	Lọ	Hu CD3 Horizon V450 UCHT1 120Tst
560619	Lọ	BD Pharmingen™ APC Mouse Anti-Human CD196 (CCR6)
560839	Lọ	Hu CD105 PE 266 100Tst
560842	Lọ	Hu CD56 (NCAM-1) PerCP-y5.5 B159 50Tst
560952	Lọ	Hu IgG FITC G18-145 25Tst
561254	Lọ	Hu CD73 FITC AD2 100Tst
561326	Lọ	Hu CD9 Horizon V450 M-L13
561982	Lọ	Hu CD63 PE-Cy7 H5C6 50Tst
562125	Lọ	Hu CD200 PE-Cy7 MRC OX-104 50Tst
562245	Hộp	Hu Mesenchymal SC Analysis Kit
562781	Lọ	BD Pharmingen™ PerCP-Cy™5.5 Rat Anti-Human CXCR5 (CD185)
563423	Lọ	Hu CD3 PE-Cy7 UHCT1 100Tst
563671	Lọ	Hu CD71 APC-H7 M-A712 100 Tst
564219	Lọ	Hu BD Fc Block Pure Fc1 50 ug
564220	Lọ	Hu BD Fc Block Pure Fc1 250 ug
565125	Lọ	Hu COX-2 PE AS67 50Tst
59-10092-02	Cái	Long đen thép 1/8 máy Caibur/Canto/Canto II
59-10117-01	Cái	Gioăng đầu nối White máy Count/Calibur
59-10117-02	Cái	Gioăng đầu nối Black máy Count/Calibur
59-10117-03	Cái	Gioăng đầu nối Red máy Count/Calibur
59-10117-04	Cái	Gioăng đầu nối Green máy Count/Calibur
59-10117-05	Cái	Gioăng đầu nối Blue máy Count/Calibur
59-10117-06	Cái	Gioăng đầu nối Orange máy Count/Calibur
59-10119-00S	Cái	Đầu nối dịch máy Calibur
640323	Cái	Bộ dây cảm biến máy Canto II
64050707	Cái	Assy Sample Housing 180 Degree Service
640607	Cái	Van điều áp máy Canto/Canto II
64067207	Cái	FACScanto II Loader Intrlock Defeat Serv
641319	Hộp	BD CST Beads Kit 50 Test
641415	Lọ	CD3 (SK7) AC-H7, 100 Test/Ea
641417	Lọ	CD45 APC-H7 CE
641778	Hộp	BD IntraSure Kit CE-IVD
641841	Cái	Phin lọc hóa chất trong máy Canto\Canto II
641863	Cái	Đầu nối Flowcell máy Lyric/CantoII
641889	Cái	Kit Upgrade FACSCanto II 4-2 TO 4-2-2
641925	Bộ	Bơm P2 máy Lyric
642160	Cái	Đầu nối 1/4 máy Lyric
642275	Lọ	CDR5 V450 2D1 100 Tests RUO/GMP
642805	Cái	PMT Socket Assembly Dp-Type
642917	Lọ	CD15 V450 NISA 100 Tests RUO/GMP
644254	Bộ	Manifold máy Canto/Canto II
644385	Lọ	CD64 PE 10.1 50 Test RUO/GMP
64455707	Bộ	Universal Microscope Assembly Service
644611	Hộp	BD Multitest 6-Color TBNK
64635277	Bộ	PCB Assembly Universal Auto Loader SVC
647951	Cái	Cap ASSY Waste Sensor w/Electronics
649760	Cái	Kèm 3 cái phao quả lọc
649761	Cái	Chưa biết tên hàng
650781	Cái	Power Module AC-DC 250W 12/24V M3S4S6
651165	Cái	FACSLyric 2L6C Instrument
651351	Cái	Chưa biết tên hàng
651352	Bộ	UAL CALIBRA  TION PLATE ASSEMBLY
651451	Cái	Quả lọc Sheath
651849	Lọ	CD4 V450 (SK3) RUO
652468	Cái	Peeksil Tubing Bevel Cut
652531	Cái	Filter Element Sheath Tank
652786	Bộ	Bộ bảo dưỡng cho máy FACS Lyric
653144	Bộ	Beads SPHEROTECH 8 Peak Validation 4mL
653145	Bộ	Beads SPHEROTECH 6 Peak Validation 4mL
653311	Lọ	CD7 APC (M-T701) RUO
655050	Hộp	BD FACSDlva CS&T Research Beads Kit 50T
655406	Lọ	CD200 APC (MRC OX-104) RUO
655407	Lọ	CD43 APC -H7 (1G10) RUO
655872	Lọ	CD20 V450 CE
655873	Lọ	CD45 V500-C CE
655874	Lọ	Anti-HLA DR V450 CE
656046	Hộp	CS&T IVD Beads 50 Test
656151	Lọ	CD36 FITC CLB-IVC7 RUO
656504	Hộp	BD® CS&T Beads
656643	Lọ	CD27 PerCP-C y5.5  (L128) RUO
656646	Lọ	CD38 APC-H7 (HB7) RUO
656647	Lọ	CD81 APC-H7 (JS-81) RUO
656648	Lọ	Anti-Lambda APC-H7 RUO
656777	Cái	BD Violet Direct Diode Laser
656867	Hộp	Kit FC Beads 7 Color CE/IVD
657681	Hộp	FACSPresto Cartridge
657954	Bộ	Retrofit Kit Transducer
658171	Lọ	CD123 APC (9F5) RUO
658331	Hộp	CD24 APC-H7 (ML5) RUO
658619	Hộp	OneFlow LST
658621	Hộp	8 Color Kit FC Beads
659293	Hộp	BD OneFlow B-CLPD T1
659912	Hộp	BD OneFlow PCST
659913	Hộp	BD OneFlow PCD
660228	Hộp	BD OneFlow ALOT
660322	Bộ	Filter máy Accuri C6 Plus/Via - PM KIT
660584	Lọ	BD Sheath Additive
660585	Lọ	BD Detergent Solution Concentrate
660586	Bộ	BD Extended Flow Cell Clean Solution
660634	Hộp	PM Kit Flow Cytometer 2 Month
661331	Hộp	PM Kit Flow Cytometer 1 Year
661414	Hộp	CS&T RUO Beads 50 Test
661564	Hộp	Kit FC Beads 5-Color CE/IVD
661744	Hộp	Filter Quick CONN FEM FEM 0.2um PPL
66222707	Cái	Sample Line Assy FACSMelody Service
662413	Hộp	BD™ CS&T IVD Beads
663689	Cái	Meter Laser Power Kit
664859	Bộ	Bộ bảo trì máy Canto, code cũ: 65969407
665421	Bộ	Software Kit FACSDiva v9.2.1 IVD
665788	Bộ	FACSLyric PM Kit
666570	Bộ	Computer Bundle Z2 SFF G9 Canto II
667231	Cái	Computer Bundle Z2SFFG9 Lyric ROW
70000998	Chai	Mikrozid Universal liquid 1L
70003119	Can	thermosept® X·tra enzymatic cleaner
70003135	Chai	Mikrozid sensitive liquid 1L
70003408	Can	GIGAZYME 5L
70003411	Can	GYGAZYME X-tra 5L
762165	Cái	PAXgene® Blood RNA Tube
8290190	Lọ	IVD Bacterial Test Standard
8290200	Lọ	IVD Matrix HCCA-portioned
8703-04	Chai	Gel rửa tay diệt khuẩn PURELL ADX 700ml
8720-06	Cái	Bình đựng gel rửa tay diệt khuẩn PURELL 700ml
8780-06	Cái	Bình đựng Xà phòng rửa tay Gojo ADX 700ml
8803-03	Chai	Gel rửa tay diệt khuẩn Purell ADX 1200ml
8820-06	Cái	Bình đựng gel rửa tay diệt khuẩn PURELL ADX 1200ml
8880-06	Cái	Bình đựng xà phòng rửa tay diệt khuẩn GOJO ADX 1250ml
98-10248-00S	Cái	Digital Multi Meter 3-1/2 Digit
99-30095-01	Cái	Gel Optical
CHI1815	Cái	CHIBA NEEDLE 18G x 15CM 10/CS
CHI2215	Cái	CHIBA NEEDLE 22G x 15CM 10/CS
CYT-INF-D	Cái	Infinicyt with Dongle+5DB
CYT-INF-EFDB-20	Bộ	EuroFlow™ Database Accesses (1 pack of 20 accesses)
CYT-MM-MRD8-R	Bộ	Multiple Myeloma Minimal Residual Disease
CYT-PIDOT8-R	Hộp	PIDOT Primary Immunodeficiency Orientation Tube
DIN1515X	Cái	ILLINOIS NEEDLE BONE MARROW 15G ADJ LEN
DIN1518X	Cái	ILLINOIS NEEDLE BONE MARROW 18G ADJ LEN
DJ4011X	Cái	JAMSHIDI NEEDLE BONE MARROW 11GX4 ASP
DJ6011X	Cái	JAMSHIDI NEEDLE BONE MARROW 11GX6 ASP
DL2301	Can	Clinicare Alcohol Free Disinfectant 5L
DL2303	Chai	Clinicare Alcohol Free Disinfectant Trigger Spray
DL2345	Hộp	Clinicare Alcohol Free Disinfectant 220 Toweletles
DL2901	Can	Clinicare Disinfectant 5L
DL2945	Hộp	Clinicare Ultra Disinfectant 220 Towelettes
E6005-5G	Lọ	Hóa chất Ethionamide
HL-90-INT-230	Cái	HOTLINE® Fluid Warmer
L-70NI	Cái	HOTLINE® Fluid Warming Set
L1-CART	Cái	Level 1® Convective Cart
L1-CLAMP	Cái	Level 1® Convective Warmer IV Pole Clamp
L1-CW-220V	Cái	Level 1® Convective Warmer
L1-HOSE	Cái	Level 1® Convective Warmer Hose
L1-SHELF	Cái	Level 1® Convective Warmer Shelf
TIN3015	Cái	ILLINOIS (TJ) NEEDLE ASPIRATION 15GA
TIN3018	Cái	ILLINOIS (TJ) NEEDLE ASPIRATION 18GA
TJC3513	Cái	JAMSHIDI(TJ) NEEDLE BONE MARROW 13GX3.5
TJC4011	Cái	JAMSHIDI(TJ) NEEDLE BONE MARROW 11GX4
TJM3513	Cái	JAMSHIDI(TJ) NEEDLE BONE MARROW 13GX3.5 ASP MAC
TJM4011	Cái	JAMSHIDI(TJ) NEEDLE BONE MARROW 11GX3.5 ASP MAC
TJM6011	Cái	JAMSHIDI(TJ) NEEDLE BONE MARROW 11GX6 ASP MAC